state,StateAbbr,PlaceName,Population2010,ACCESS2_AdjPrev,BPHIGH_AdjPrev,BPMED_AdjPrev,CANCER_AdjPrev,CHD_AdjPrev,CHECKUP_AdjPrev,CHOLSCREEN_AdjPrev,COLON_SCREEN_AdjPrev,COPD_AdjPrev,COREM_AdjPrev,COREW_AdjPrev,DENTAL_AdjPrev,DIABETES_AdjPrev,HIGHCHOL_AdjPrev,LPA_AdjPrev,MAMMOUSE_AdjPrev,OBESITY_AdjPrev,PAPTEST_AdjPrev,PHLTH_AdjPrev,STROKE_AdjPrev,Geolocation,health_exp,region,division
Texas,TX,Allen,84246,13,27.1,58.2,6.1,4.6,71.4,78.5,67.5,4.2,35.5,38.1,71.7,7.8,30.2,18.8,80,24.2,83,7.8,2.1,"(33.1087043234, -96.6735373763)",6998,South,West South Central
Texas,TX,Amarillo,190695,24.8,30.8,61.1,6,6,66.7,72.4,59.6,6.3,32.6,33,57.1,10.4,33.5,27.9,74.8,32,76.2,12,2.9,"(35.2003835544, -101.828292514)",6998,South,West South Central
Texas,TX,Arlington,365438,24.1,32.4,61.7,5.9,5.7,68.5,74.9,62.9,6,35.3,34.8,58.4,10.9,32.9,26,75.9,32.2,79.2,11.5,2.9,"(32.699836862, -97.125089612)",6998,South,West South Central
Texas,TX,Austin,790390,20.9,28.5,58.1,5.7,5.3,67.2,74.4,61.1,5,34.1,31.9,63.7,9.7,33.5,21.4,77.1,26,82.6,10.2,2.6,"(30.3068610342, -97.7554771245)",6998,South,West South Central
Texas,TX,Baytown,71802,30.9,33.4,61.7,5.5,6.4,67.8,73.3,56.5,6.9,28.5,29.8,53.1,12.3,34.7,30,75.1,34.4,76.6,13.3,3.4,"(29.7571153043, -94.9676276217)",6998,South,West South Central
Texas,TX,Beaumont,118296,26.2,36.7,66.3,5.6,6.3,71.2,72,59.1,6.9,28.1,29.5,51.9,13.4,33.2,30.4,76.3,37.4,77.2,13.3,4,"(30.084416647, -94.1441072222)",6998,South,West South Central
Texas,TX,Brownsville,175023,46.7,33.7,60.7,4.3,7.2,63.4,65.3,44.9,6.3,27.3,20,44.3,16.9,35.8,37.7,67.5,39.9,72.4,17.4,3.5,"(25.9981977861, -97.4566343763)",6998,South,West South Central
Texas,TX,Bryan,76201,28.7,33.3,63.1,5.7,6.4,70,72.7,60.9,6.8,34.9,31.3,61.1,12.6,33.3,29.2,76.3,34.8,76.4,13.7,3.5,"(30.6665687582, -96.3663819223)",6998,South,West South Central
Texas,TX,Carrollton,119097,21.3,28.9,59.1,5.7,5.2,69.5,74.8,62.6,5,35.1,34.8,62.9,9.6,33.3,23.8,78.4,26.8,78.8,9.9,2.5,"(32.988438459, -96.900137433)",6998,South,West South Central
Texas,TX,College Station,93857,17.4,31.1,62.2,6.1,5.5,70.6,73.1,67.4,5.4,38.9,34.9,71.2,9.5,33,21.8,78.6,28.3,77.8,10.2,2.7,"(30.5867615801, -96.2957958614)",6998,South,West South Central
Texas,TX,Corpus Christi,305215,29.3,31.7,59.9,5.3,6,67.3,71,57.6,5.6,29,27.2,56.7,12.6,33.6,29,78.6,37.3,79.2,12.8,2.9,"(27.7291588337, -97.4019095379)",6998,South,West South Central
Texas,TX,Dallas,1197816,31.6,34.9,62,5.5,6.4,68.6,70.3,57.8,6.5,32.4,30.5,53.5,13.2,33.9,30.5,77.5,34.3,76.4,13.8,3.7,"(32.7939804066, -96.7656929463)",6998,South,West South Central
Texas,TX,Denton,113383,21.1,30.1,60.9,6.1,5.6,69.4,75.6,61.3,6,35.4,33.2,59.4,9.7,34,24.1,76.5,29.9,77.2,11,2.8,"(33.2156160443, -97.1412438684)",6998,South,West South Central
Texas,TX,Edinburg,77100,39.5,31.5,59.7,4.3,6.2,65.2,66.3,51,5.2,29.3,26.8,55.1,15.1,34.7,30.1,71.4,36.5,75.8,14.2,3,"(26.3155843974, -98.1637130371)",6998,South,West South Central
Texas,TX,El Paso,649121,35.5,31,60.8,4.5,6.2,66.3,69.6,52,5.2,25.2,24.7,54,14.9,32.5,29,75.1,35.5,78.1,13.8,3,"(31.8481123506, -106.432021874)",6998,South,West South Central
Texas,TX,Fort Worth,741206,27,33.6,61.9,5.7,6.2,68,74.5,59.6,6.6,32.6,31.4,55.4,12.5,33.2,28.3,74.8,34.2,78.5,13,3.4,"(32.780192804, -97.3470323225)",6998,South,West South Central
Texas,TX,Frisco,116989,11.9,26.8,58.1,6.1,4.4,71.6,78.9,68.4,3.9,36.8,38.6,73.2,7.5,30.9,17.3,80.7,23.7,84.2,7.3,2,"(33.1507545152, -96.8201336312)",6998,South,West South Central
Texas,TX,Garland,226876,28.8,31.7,60,5.6,6,67.9,70.9,59.2,6.3,33.5,32.2,56.2,11.5,33.6,29.2,77,30.8,76.1,12.6,3.1,"(32.9100799867, -96.6304258603)",6998,South,West South Central
Texas,TX,Grand Prairie,175396,27.4,32.5,60.7,5.5,6,68.8,72.4,59.9,6,32.6,31.1,57.2,11.9,33.3,28.2,77.3,32,78.8,12.2,3.1,"(32.6867650238, -97.0209311916)",6998,South,West South Central
Texas,TX,Houston,2099451,31.1,35.1,62.9,5.2,6.1,68.9,72.8,57.6,6.1,28.4,30.2,53.9,13,34.8,29.7,77.2,33.9,76.5,12.9,3.5,"(29.7806691396, -95.3860033966)",6998,South,West South Central
Texas,TX,Irving,216290,27.3,31.9,59.9,5.5,6.1,68,70.4,58,6.2,33.3,31.4,57.8,11.5,33.9,28.3,76.5,29.7,76.4,12.4,3.1,"(32.8583808131, -96.9703058323)",6998,South,West South Central
Texas,TX,Killeen,127921,22.4,35.3,63.6,5.5,6,72,73.3,59.3,6.1,33.3,29.4,57.5,12.5,33.4,28.7,76.4,33.8,77.5,12.2,3.4,"(31.0757648143, -97.7285651299)",6998,South,West South Central
Texas,TX,Laredo,236091,44.2,33.2,60.8,4.1,7,64.9,65.7,45.1,5.8,24.6,20.1,46.1,16.8,34.6,37.6,70.2,38.6,73.9,17,3.4,"(27.5482572475, -99.4867797312)",6998,South,West South Central
Texas,TX,League City,83560,13.9,28.1,59,6.2,4.8,69.7,76.6,67.7,4.4,36.2,37.9,72.2,8,31.9,18.3,81.2,26.8,84.3,8,2.2,"(29.4872995808, -95.1089858945)",6998,South,West South Central
Texas,TX,Lewisville,95290,20.2,28.6,59.6,5.8,5.4,70.2,77.3,61.3,5.5,33.9,32.6,61.3,9.7,33.3,23.8,77,28.3,79.2,10.4,2.6,"(33.0451992429, -96.9829273031)",6998,South,West South Central
Texas,TX,Longview,80455,24.8,33.7,61.9,6,6.2,66.9,72.8,59.8,6.9,32.4,31.6,53.5,11.4,33.9,28.7,74.3,35.7,77.3,12.8,3.4,"(32.5192857856, -94.762197598)",6998,South,West South Central
Texas,TX,Lubbock,229573,24.7,31.8,60.8,5.8,6,67.4,71.3,59.3,6,34,31.3,57.5,10.9,33.4,27.8,75.4,33,77.4,12,3,"(33.5666251178, -101.886335663)",6998,South,West South Central
Texas,TX,McAllen,129877,38,31.1,59.5,4.4,6.2,65.4,66.6,51.4,5.3,29.6,26.7,56.3,14.6,34.6,29.5,71,35.6,75.6,14,3,"(26.2186289942, -98.2451704536)",6998,South,West South Central
Texas,TX,McKinney,131117,16.3,28.2,58.8,6.1,5,70.9,77.9,65.7,4.8,34.8,35.8,68.3,8.6,30.4,20.9,78.9,27,82.8,9,2.4,"(33.1988886952, -96.6677029773)",6998,South,West South Central
Texas,TX,Mesquite,139824,26.1,32.3,60.7,5.8,6.1,68.8,71.8,59.6,6.6,33.5,32,57.3,11.2,33.3,28.1,77,32.1,78.1,12.4,3.2,"(32.7641310166, -96.5927445114)",6998,South,West South Central
Texas,TX,Midland,111147,23.1,31.1,59.2,5.8,5.6,67.9,74.2,61.7,5.4,32.4,32.7,60.4,10.2,31.1,25.8,76.4,32.1,81.1,10.8,2.7,"(32.0285948356, -102.109700973)",6998,South,West South Central
Texas,TX,Mission,77058,39.9,30.8,59.2,4.6,6.3,65.2,66.8,51.7,5.5,30.6,28.5,55.5,14.3,34.4,30.1,70.9,35.8,75.5,14.1,3,"(26.2033406464, -98.322770513)",6998,South,West South Central
Texas,TX,Missouri City,67358,17.8,33.4,63.2,5.3,4.8,72.4,79.3,65,4.3,30.6,32.8,63.4,10.6,33.9,23.5,80.5,29,82.5,8.9,2.7,"(29.563674661, -95.5382066661)",6998,South,West South Central
Texas,TX,Odessa,99940,29,31.7,59.6,5.6,6.2,64.9,70.2,56.2,6.1,29.9,30.2,53.7,11.7,35.1,30.1,74.6,35,78.6,12.8,3,"(31.879456461, -102.344465435)",6998,South,West South Central
Texas,TX,Pasadena,149043,35.4,31.7,60.1,5.3,6.3,66.3,72.2,56,6.5,28.9,30.3,52.7,12.2,35,31,74.8,33.6,75.5,13.6,3.1,"(29.6589511488, -95.1509173148)",6998,South,West South Central
Texas,TX,Pearland,91252,15.5,28.5,59.9,5.7,4.8,70.2,75.7,66.1,4.3,31.9,36.7,68.3,8.9,31.8,20.7,78.5,27.5,82.9,8.3,2.3,"(29.5584850577, -95.3208389111)",6998,South,West South Central
Texas,TX,Pharr,70400,49,32.8,60.4,4.4,7,63.8,64.6,45.4,6.4,28.3,25.3,47.3,16.8,35.5,35.6,67.5,39.6,70.8,17.3,3.5,"(26.168815399, -98.1904720704)",6998,South,West South Central
Texas,TX,Plano,259841,14.7,27.4,58.5,6,4.6,71.3,77.7,66.7,4.1,35.7,38.1,70.5,8,30.5,19.6,79.8,24,81.9,7.9,2.1,"(33.0502149278, -96.7486409797)",6998,South,West South Central
Texas,TX,Richardson,99223,16.2,29.2,58.8,6,4.8,69.7,73.7,66.4,4.5,37.6,38,68.8,8.3,32.3,20.6,80.2,24.7,80.6,8.6,2.3,"(32.9716582389, -96.7093052991)",6998,South,West South Central
Texas,TX,Round Rock,99887,18.3,28.1,58.5,5.8,5.2,68.9,76.7,65.1,4.9,35.3,37.2,65,9.1,30.6,21.3,79.7,32.2,81.7,9.6,2.4,"(30.5239578235, -97.6669801882)",6998,South,West South Central
Texas,TX,San Angelo,93200,26.6,31.8,60.5,5.8,6.1,66.4,72.1,56.4,6.3,30.9,31.1,55.6,11.3,33.5,28.7,74,34.2,76.8,12.3,2.9,"(31.440468746, -100.452243142)",6998,South,West South Central
Texas,TX,San Antonio,1327407,30.2,31.4,60.3,5.3,6.1,69.2,71.9,59.8,5.5,29.9,29.7,58.9,13.8,32.5,29.5,78.8,32.9,77.7,12.9,3,"(29.4721475333, -98.5246763525)",6998,South,West South Central
Texas,TX,Sugar Land,78817,13.9,28.2,59.4,5.4,4.2,69.6,78.9,65.7,3.6,32.5,35.5,69,8.4,34.4,20.9,79.5,21.1,79.7,7.3,2,"(29.5974680902, -95.627455775)",6998,South,West South Central
Texas,TX,Tyler,96900,24.7,33.3,64.5,5.9,6,68.9,73.2,60,6.6,32.4,31,58,11.5,33,29.4,74.7,34.7,76.7,12.6,3.4,"(32.3154021183, -95.3050093799)",6998,South,West South Central
Texas,TX,Waco,124805,29.7,36.5,64.2,5.7,6.5,67.1,70.9,56.3,7.4,29,30.2,49.1,13.1,34.7,31.6,74.3,36.4,74.5,14.4,3.7,"(31.5597607137, -97.1883333282)",6998,South,West South Central
Texas,TX,Wichita Falls,104553,22.5,32.7,61.3,6.1,6.3,70.2,72.8,60.6,6.8,31.5,31.9,59.3,11.4,33.9,28.7,75.4,34.1,77.5,12.3,3.1,"(33.9072739838, -98.5292981697)",6998,South,West South Central
Utah,UT,Layton,67311,13.1,27,53.3,5.8,4.9,59.2,71.8,70.4,4.1,41.8,31.2,71.2,7.7,33,16.9,73.3,27,77.9,10,2.5,"(41.077181614, -111.961589302)",5982,West,Mountain
Utah,UT,Ogden,82825,22.7,31.5,55.6,5.8,6,59.9,67,61.7,5.6,29.6,25.2,60.1,10.4,34.1,23.1,66.6,33.9,70.6,14.4,3.2,"(41.2281567535, -111.967450557)",5982,West,Mountain
Utah,UT,Orem,88328,16,24.6,51.6,5.9,5.2,55.5,69,65.1,4.4,33.2,28.9,66.1,7.9,30.5,17.1,69.7,28,72.2,10.9,2.7,"(40.2987127625, -111.699188517)",5982,West,Mountain
Utah,UT,Provo,112488,18.6,25.8,52.7,5.8,5.2,54.9,66.9,64,4.6,33.6,29.3,63,8.3,31.1,18.3,69.3,29.4,69.3,11.8,2.8,"(40.2457185288, -111.645715857)",5982,West,Mountain
Utah,UT,St. George,72897,16.7,26.3,53.3,6,5.5,59.2,67.2,65.3,4.8,32.1,30.5,66.4,7.8,30.4,18.3,73.9,26.1,75.4,11.5,2.8,"(37.0787444634, -113.579352503)",5982,West,Mountain
Utah,UT,Salt Lake City,186440,17.7,27.2,53.4,5.9,5.2,58.5,68.2,66.9,4.5,35.2,31.6,64.2,9.1,32.8,19,73.3,28.2,77.7,11.8,2.8,"(40.7778489465, -111.931220784)",5982,West,Mountain
Utah,UT,Sandy,87461,11,24.4,51.4,6.1,4.6,59.8,71.5,72.8,3.8,37.4,34.9,72.2,7.1,31.5,15,76.4,24.7,82.6,9.1,2.3,"(40.5702254423, -111.852431062)",5982,West,Mountain
Utah,UT,West Jordan,103712,14.3,24.7,51.6,6,4.9,59.2,71,70,4.2,35.7,33.3,68.1,8.1,31.6,17.4,74.9,26.5,80.9,10.4,2.5,"(40.6022598635, -112.000961848)",5982,West,Mountain
Utah,UT,West Valley City,129480,22.9,27.3,53.2,5.7,5.9,57.5,67.9,62.5,5.5,31.5,27.4,57.2,10.5,32.9,23.6,70.1,30.4,74.7,14,3.3,"(40.6887696962, -112.011667394)",5982,West,Mountain
Vermont,VT,Burlington,42417,10.1,27.9,54,6.2,5.3,62.4,73.2,67.9,5.9,32.6,33.6,69.8,7.1,26.5,17.7,79.6,22.6,82.1,10.4,2.6,"(44.4876245694, -73.2314828365)",10190,Northeast,New England
Virginia,VA,Alexandria,139966,12.3,27.5,61.4,5.7,4.7,72.9,80,72,4.3,38.8,37.7,75.2,8.1,30.9,17.6,83.4,23.3,87.6,8.4,2.3,"(38.8187351557, -77.0867762661)",7556,South,South Atlantic
Virginia,VA,Chesapeake,222209,13.6,34.6,63.2,5.8,5.6,76.7,79.4,70.5,5.9,39.9,34.3,71.8,9.4,32.8,23.3,82.2,31.4,86.4,10.4,2.8,"(36.6777521118, -76.3024325925)",7556,South,South Atlantic
Virginia,VA,Hampton,137436,17.1,35.1,66.6,5.6,6.1,77,77.6,66.6,6.6,35.3,33,65.2,11.7,31.3,26,82.4,37.7,84.2,12.1,3.5,"(37.0533009025, -76.3665945624)",7556,South,South Atlantic
Virginia,VA,Lynchburg,75568,18.3,33.6,64.9,5.8,6.3,73.1,75.6,63.9,7.4,35.3,32.7,61.5,10.9,33.9,27.1,78.1,32.2,81.5,12.9,3.5,"(37.4004163016, -79.1911081)",7556,South,South Atlantic
Virginia,VA,Newport News,180719,17.4,34.6,65,5.6,6,75.8,77.1,66,6.5,35.3,33.1,63.8,10.8,33,25.6,82.2,32.8,84.6,12,3.3,"(37.1051141309, -76.5182644502)",7556,South,South Atlantic
Virginia,VA,Norfolk,242803,17.9,34.7,64.4,5.5,6.2,76.6,76.6,64.5,7,34.7,31.9,62.8,11.6,33.5,26.7,82.2,33.1,82.6,12.5,3.6,"(36.8932863006, -76.2567157761)",7556,South,South Atlantic
Virginia,VA,Portsmouth,95535,18.9,36.8,66.1,5.6,6.4,78,76.2,66.1,7.3,36.3,31.9,59.1,12.5,35.2,28.7,82,38.6,83,13.1,3.9,"(36.8451450228, -76.3552763467)",7556,South,South Atlantic
Virginia,VA,Richmond,204214,19.8,39.5,67,5.5,6.4,73.2,76.7,63.4,7.3,35.8,30.9,62.2,12.5,33.5,25.7,81.8,33.1,81.8,13.4,4,"(37.5293933083, -77.475568168)",7556,South,South Atlantic
Virginia,VA,Roanoke,97032,19.5,35.1,64.2,5.7,6.5,72.2,75.2,62.8,7.7,39.7,32.3,61.2,11,34.1,27.6,77,32.7,80.7,13.4,3.5,"(37.2782181855, -79.9581615989)",7556,South,South Atlantic
Virginia,VA,Suffolk,84585,15.6,32,65.3,5.6,5.8,76.2,77.9,67.5,6.3,40,33.6,65.4,10.7,31.2,25.7,82.2,33.6,85.1,11.2,3.2,"(36.6930367981, -76.6414278469)",7556,South,South Atlantic
Virginia,VA,Virginia Beach,437994,12.7,29.8,60.9,5.8,5.3,73.6,79.7,72.3,5.3,36.2,37.3,71.6,8.4,34,21.4,81.1,29.5,86,9.6,2.5,"(36.7534593339, -76.0589579522)",7556,South,South Atlantic
Washington,WA,Auburn,70180,14.7,27.9,51,6.4,5.9,59.5,72.1,63.4,6.6,30.5,32.1,63.9,8.9,30.3,18.7,72.6,27,78.2,13.4,3,"(47.3038544325, -122.210810557)",7913,West,Pacific
Washington,WA,Bellevue,122363,8,25.4,49.6,6.2,4.2,61.7,73.2,71.2,3.6,34.8,39.8,76.6,6.5,29.3,12.2,78.5,18.8,82.2,8,2,"(47.5962437606, -122.153569982)",7913,West,Pacific
Washington,WA,Bellingham,80885,12.1,29.3,50.2,6.7,5.6,60,69.4,67.7,6.3,35.8,34.6,66.6,8.3,32.1,17.6,73.9,27,79.5,12.3,2.7,"(48.7535370315, -122.468092906)",7913,West,Pacific
Washington,WA,Everett,103019,14.5,31.5,51.3,6.5,6,61.3,72.4,64.9,6.8,32.4,32.5,62.7,9.5,33,20.4,76.6,32.3,79.4,13.2,2.9,"(47.9497966189, -122.160703911)",7913,West,Pacific
Washington,WA,Federal Way,89306,14.7,28.3,51.7,6.1,5.4,60.2,72,63.8,5.8,30.4,33.2,64.5,9,30,18.2,73.7,25.9,78,12.5,2.9,"(47.3090846316, -122.335755583)",7913,West,Pacific
Washington,WA,Kennewick,73917,16.8,29.2,52.2,6.5,6.3,61.6,70.2,65,7,29.9,34.5,61.2,9.5,33,21.6,74.7,31.2,78.2,13.8,3,"(46.198438428, -119.173245847)",7913,West,Pacific
Washington,WA,Kent,92411,16.2,28.8,52.1,6.1,5.7,59.8,71.4,62.6,6.3,29.9,32.5,62.3,9.4,30.3,19.3,72.9,26.5,76.8,13.3,3,"(47.3849636272, -122.217890194)",7913,West,Pacific
Washington,WA,Renton,90927,12.7,27.6,51.3,6,5,61,72.6,65.7,5.1,30.9,35.1,67.6,8.4,29.7,16.8,75.4,23.5,79.2,11.1,2.6,"(47.4760546752, -122.191153327)",7913,West,Pacific
Washington,WA,Seattle,608660,9.5,27.3,50.9,6.3,4.6,61.1,72.7,68.9,4.4,32.7,37.1,73,7.5,29.7,13.6,77.2,22.4,82.3,9.6,2.4,"(47.622154338, -122.323532482)",7913,West,Pacific
Washington,WA,Spokane,208916,12.9,29.8,52,6.9,6.1,63.1,68.5,67.4,6.9,32.2,33.6,62.5,9,33,19.7,76.3,32.6,79.2,13.2,3,"(47.6736243259, -117.415973291)",7913,West,Pacific
Washington,WA,Spokane Valley,89755,11.5,28.4,51,6.9,5.8,63.3,69.8,69.1,6.5,32.5,34.6,64.8,8.5,32.4,18.6,77.2,31.5,81,12.2,2.7,"(47.662556574, -117.234571922)",7913,West,Pacific
Washington,WA,Tacoma,198397,14.1,32.6,53.8,6.3,5.9,63.4,69.9,63.7,6.7,33.4,31,63.2,9.6,33.8,21.6,75.6,30.8,77.1,13.1,3,"(47.2425411445, -122.45447391)",7913,West,Pacific
Washington,WA,Vancouver,161791,12.8,29.5,52.7,6.6,5.9,59.9,71.8,66.9,6.5,31.3,37,64.9,9,32.3,19.5,78.5,29.5,80.4,12.6,2.8,"(45.6357172365, -122.598539476)",7913,West,Pacific
Washington,WA,Yakima,91067,24.2,30.8,53.5,6.3,6.9,59.2,64.8,57.7,7.7,25.7,29.2,55.1,11.1,34.5,27.2,70.3,34.2,76.5,16.3,3.3,"(46.5925792092, -120.547807614)",7913,West,Pacific
West Virginia,WV,Charleston,51400,11.4,37.6,63.2,6.4,7.2,78.1,75.3,67.6,8.5,47.5,44.9,62,10.9,35.1,23.6,80.2,33.2,82.1,14.5,3,"(38.3484079736, -81.632165003)",9462,South,South Atlantic
Wisconsin,WI,Appleton,72623,9.9,28.9,57.6,6.1,5.1,67.9,75.4,70.5,5,31.9,34,71,8,32.8,19.4,80,29.6,84.1,10.4,2.4,"(44.2776987457, -88.3897664444)",8702,Midwest,East North Central
Wisconsin,WI,Green Bay,104057,13.7,30.5,58.1,6,5.9,68.6,72.6,66.8,6.1,34.1,28.2,67.1,9.3,33.6,23.2,79.9,32.3,82.4,12.6,2.9,"(44.5149847816, -87.9896195955)",8702,Midwest,East North Central
Wisconsin,WI,Kenosha,99218,14.4,30.5,59.4,5.9,5.8,67.4,72.6,65.4,6,29.1,29.9,63.4,9.6,32.8,22.9,78.2,35.3,82.4,12.7,2.9,"(42.585570271, -87.8735745085)",8702,Midwest,East North Central
Wisconsin,WI,Madison,233209,9.9,27.4,60.1,5.9,4.8,68.2,75.2,71.1,4.5,36,34.4,73.4,7.6,31.6,17.7,79.9,27.5,84.8,9.7,2.3,"(43.0809865694, -89.3915106344)",8702,Midwest,East North Central
Wisconsin,WI,Milwaukee,594833,19.1,38.1,63.4,5.6,6.1,71.1,71.7,62.9,6.7,30.2,25,57.4,13.1,33.3,28.6,79,39,81.5,15.1,3.9,"(43.0641258925, -87.9672412429)",8702,Midwest,East North Central
Wisconsin,WI,Racine,78860,17.1,34,60.9,5.8,5.9,66.5,71.5,64.6,6.3,28.4,29.6,59.9,10.9,32.5,25,78.6,36.9,80.4,13.8,3.3,"(42.7274599494, -87.813453024)",8702,Midwest,East North Central
Wisconsin,WI,Waukesha,70718,10.1,28,57.9,6,5.1,66,74.8,66.8,4.8,33.1,33.5,72,8,30.5,18.9,80.5,30.7,84.6,10,2.4,"(43.0093332215, -88.2457679157)",8702,Midwest,East North Central
Wyoming,WY,Cheyenne,59466,17.2,28.7,57.2,5.9,5.7,60.2,71.3,57.8,6.4,33.2,28.4,65.3,8,30.7,24.2,72.1,29.6,79,10.7,2.5,"(41.1460804265, -104.789064332)",8320,West,Mountain
